Singapore,164
South Korea,163
Germany,162
Japan,162
Denmark,161
Sweden,161
Finland,161
Italy,161
France,161
Spain,161
Luxembourg,160
Norway,160
Netherlands,160
Belgium,160
Austria,160
Portugal,160
United Kingdom,160
United States of America,160
Switzerland,159
Malaysia,159
Ireland,159
Canada,159
Greece,158
Malta,157
Czechia,157
Australia,157
New Zealand,156
Hungary,155
Iceland,155
Slovenia,154
Poland,154
Lithuania,154
Slovakia,154
Latvia,154
Estonia,153
Liechtenstein,152
Cyprus,151
Romania,150
Bulgaria,150
Brazil,150
Argentina,150
Croatia,149
Chile,149
United Arab Emirates,148
Monaco,148
Hong Kong,146
San Marino,144
Andorra,143
Israel,142
Brunei,141
Barbados,139
Mexico,138
Bahamas,136
Vatican City,135
Uruguay,134
Seychelles,132
St. Vincent and the Grenadines,131
Saint Kitts and Nevis,130
Peru,130
Antigua and Barbuda,129
Trinidad and Tobago,128
Costa Rica,128
Mauritius,127
Ukraine,127
Saint Lucia,126
Grenada,125
Paraguay,125
Venezuela,125
Macao,123
Panama,122
Taiwan,122
Vanuatu,121
Dominica,120
Honduras,120
Solomon Islands,119
Samoa,119
El Salvador,119
Serbia,119
Guatemala,118
Tuvalu,117
Tonga,114
Kiribati,113
Russian Federation,113
Colombia,113
Macedonia,113
Montenegro,111
Nicaragua,111
Turkey,111
Marshall Islands,110
Moldova,109
Georgia,107
Micronesia,107
Bosnia and Herzegovina,106
Palau,105
Albania,101
South Africa,95
Kuwait,90
Timor-Leste,89
Belize,88
Fiji,84
Ecuador,84
Jamaica,82
Qatar,82
Guyana,82
Bahrain,80
Maldives,78
Oman,77
Thailand,77
Belarus,75
Nauru,75
Kazakhstan,75
Botswana,74
Saudi Arabia,74
Suriname,73
Papua New Guinea,73
Bolivia,73
Lesotho,71
Swaziland,70
Indonesia,70
Malawi,69
Kenya,69
Namibia,68
China,67
Gambia,66
Tanzania,66
Azerbaijan,66
Dominican Republic,66
Tunisia,65
Cuba,65
Zimbabwe,64
Cape Verde,64
Zambia,63
Philippines,63
Armenia,63
Uganda,62
Ghana,61
Kyrgyzstan,61
Sierra Leone,60
Mongolia,60
Benin,59
Morocco,59
Uzbekistan,58
India,58
Sao Tome and Principe,58
Tajikistan,57
Senegal,56
Guinea,56
Cote d'Ivoire (Ivory Coast),56
Gabon,56
Haiti,56
Mozambique,55
Burkina Faso,55
Mauritania,55
Bhutan,54
Mali,53
Niger,53
Togo,53
Madagascar,53
Rwanda,53
Cambodia,52
Comoros,52
Turkmenistan,52
Guinea-Bissau,51
Viet Nam,51
Egypt,51
Chad,50
Laos,50
Jordan,50
Equatorial Guinea,50
Angola,49
Algeria,49
Central African Republic,48
Liberia,47
Cameroon,47
Burundi,47
Congo,47
Djibouti,46
Nigeria,44
Myanmar [Burma],44
Kosovo,44
Congo (Dem. Rep.),43
Palestinian Territories,41
South Sudan,41
Ethiopia,41
North Korea,41
Lebanon,40
Nepal,40
Iran,40
Bangladesh,39
Sri Lanka,39
Eritrea,39
Libya,38
Yemen,38
Sudan,38
Somalia,33
Syria,32
Pakistan,29
Iraq,28
Afghanistan,25
